Key,Value
ACCOUNT_EXPO_INTERNAL_NON_FULL_ORDER3,FREEMAN CORP-149883 (Expo)
ACCOUNT_EXHIBIT_INTERNAL_NON_FULL_ORDER1,FREEMAN CORP-149883 (Exhibit)
ACCOUNT_EXPO_EXTERNAL_NON_FULL_ORDER,REED EXHIBITIONS NA (100839) Expo
ACCOUNT_EXPO_SFDC_INTERNAL_NON_FULL_ORDER,FREEMAN-840430 (Expo)
ACCOUNT_EXPO_SFDC_INTERNAL_NON_FULL_ORDER1,FREEMAN WASHINGTON-505989 (Expo)
ACCOUNT_EXHIBIT_SFDC_INTERNAL_NON_FULL_ORDER,FREEMAN-840430 (Exhibit)
ACCOUNT_EXHIBIT_NON_FULL_ORDER,FREEMAN WASHINGTON-505989 (Exhibit)
ACCOUNT_EXHIBIT_INTERNAL_NON_FULL_ORDER2,REED EXHIBITIONS NA-100839 (Exhibit)
ACCOUNT_EXPO_BRANCH_TEMPLATE,FREEMAN LAS VEGAS - Expo
ACCOUNT_EXHIBIT_PDM,NORTHSTAR-837010 (Exhibit)
USER_EXTERNAL_EXPO_ACCOUNT_ADMIN_NAME,folautouser1
USER_EXTERNAL_EXPO_ACCOUNT_ADMIN_PASSWORD,Freeman1
USER_EXTERNAL_EXPO_ACCOUNT_TEAM_MEMBER_NAME,folautouser2
USER_EXTERNAL_EXPO_ACCOUNT_TEAM_MEMBER_PASSWORD,Freeman1
USER_EXTERNAL_EXPO_ACCOUNT_TEAM_MEMBER_NAME1,Folautouser36
USER_EXTERNAL_EXPO_ACCOUNT_TEAM_MEMBER1_PASSWORD,Freeman1
USER_EXTERNAL_FREEMAN_ACCOUNT_TEAM_MEMBER_NAME,Folautouser37
USER_EXTERNAL_FREEMAN_ACCOUNT_TEAM_MEMBER_PASSWORD,Freeman1
USER_EXTERNAL_EXPO_PROJECT_ADMIN_NAME,folautouser3
USER_EXTERNAL_EXPO_PROJECT_ADMIN_PASSWORD,Freeman1
USER_EXTERNAL_EXPO_PROJECT_ADMIN1_NAME,Folautouser31
USER_EXTERNAL_EXPO_PROJECT_ADMIN1_PASSWORD,Freeman1
USER_EXTERNAL_EXPO_PROJECT_TEAM_MEMBER_ORDER_NAME,folautouser4
USER_EXTERNAL_EXPO_PROJECT_TEAM_MEMBER_ORDER_PASSWORD,Freeman1
USER_EXTERNAL_EXPO_PROJECT_TEAM_MEMBER1_ORDER_NAME,folautouser7
USER_EXTERNAL_EXPO_PROJECT_TEAM_MEMBER1_ORDER_PASSWORD,Freeman1
USER_EXTERNAL_EXPO_PROJECT_TEAM_ADMIN_ORDER_NAME,folautouser5
USER_EXTERNAL_EXPO_PROJECT_TEAM_ADMIN_ORDER_PASSWORD,Freeman1
USER_EXTERNAL_EXPO_PROJECT_TEAM_ADMIN1_ORDER_NAME,Folautouser32
USER_EXTERNAL_EXPO_PROJECT_TEAM_ADMIN1_ORDER_PASSWORD,Freeman1
USER_EXTERNAL_EXHIBIT_ACCOUNT_ADMIN_NAME,folautouser9
USER_EXTERNAL_EXHIBIT_ACCOUNT_ADMIN_PASSWORD,Freeman1
USER_EXTERNAL_EXHIBIT_ACCOUNT_TEAM_MEMBER_NAME,folautouser10
USER_EXTERNAL_EXHIBIT_ACCOUNT_TEAM_MEMBER_PASSWORD,Freeman1
USER_EXTERNAL_FREEMAN_EXPO_ACCOUNT_TEAM_MEMBER_NAME,folautouser12
USER_EXTERNAL_FREEMAN_EXPO_ACCOUNT_TEAM_MEMBER_PASSWORD,Freeman1
USER_EXTERNAL_EXHIBIT_ACCOUNT_TEAM1_MEMBER_NAME,Folautouser34
USER_EXTERNAL_EXHIBIT_ACCOUNT_TEAM1_MEMBER_PASSWORD,Freeman1
USER_EXTERNAL_EXHIBIT_PROJECT_TEAM_ADMIN_NAME,folautouser6
USER_EXTERNAL_EXHIBIT_PROJECT_TEAM_ADMIN_PASSWORD,Freeman1
USER_EXTERNAL_EXHIBIT_PROJECT_TEAM_ADMIN1_NAME,Folautouser35
USER_EXTERNAL_EXHIBIT_PROJECT_TEAM_ADMIN1_PASSWORD,Freeman1
USER_EXTERNAL_EXHIBIT_PROJECT_TEAM_MEMBER_ORDER_NAME,folautouser7
USER_EXTERNAL_EXHIBIT_PROJECT_TEAM_MEMBER_ORDER_PASSWORD,Freeman1
USER_EXTERNAL_EXHIBIT_PROJECT_TEAM_ADMIN_ORDER_NAME,folautouser8
USER_EXTERNAL_EXHIBIT_PROJECT_TEAM_ADMIN_ORDER_PASSWORD,Freeman1
USER_EXTERNAL_VENDOR_PERMISSION_NAME,Folautouser28
USER_EXTERNAL_VENDOR_PERMISSION_PASSWORD,Freeman1
USER_EXTERNAL_REED_EVINS_ACCOUNT_ADMIN,Folautouser26
USER_EXTERNAL_REED_EVINS_ACCOUNT_ADMIN_PASSWORD,Freeman1
USER_INTERNAL_PASSPORT_ADMIN_NAME,PSP-AE-TEST13
USER_INTERNAL_PASSPORT_ADMIN_PASSWORD,Freeman1
USER_INTERNAL_PASSPORT_ADMIN2_NAME,PSP-AE-TEST14
USER_INTERNAL_PASSPORT_ADMIN2_PASSWORD,Freeman#24
USER_INTERNAL_PASSPORT_ADMIN_NAME1,PSP-AE-TEST13
USER_INTERNAL_PASSPORT_ADMIN1_PASSWORD,Freeman1
USER_INTERNAL_EXPO_PROJECT_ADMIN_NAME,PSP-AE-TEST11
USER_INTERNAL_EXPO_PROJECT_ADMIN_PASSWORD,Freeman1
USER_INTERNAL_EXHIBIT_PROJECT_ADMIN_NAME,PSP-AE-TEST01
USER_INTERNAL_EXHIBIT_PROJECT_ADMIN_PASSWORD,Freeman1
USER_INTERNAL_EXHIBIT_PROJECT_ADMIN_FULLNAME,PSP-AE-TEST01
USER_INTERNAL_EXHIBIT_PROJECT_ADMIN_EMAIL,PSP-AE-TEST01@freemanco.com
USER_INTERNAL_EXHIBIT_PROJECT_AE,psp-ae-test02
USER_INTERNAL_EXHIBIT_PROJECT_AE_PASSWORD,Freeman1
USER_INTERNAL_EXHIBIT_PROJECT_AE03,psp-ae-test03
USER_INTERNAL_EXHIBIT_PROJECT_AE03_PASSWORD,Freeman1
USER_INTERNAL_EXHIBIT_PROJECT_AE04,psp-ae-test04
USER_INTERNAL_EXHIBIT_PROJECT_AE04_PASSWORD,Freeman1
USER_INTERNAL_AE8,psp-ae-test08
USER_INTERNAL_AE8_PASSWORD,Freeman1
USER_ALL_MANAGER,psp.allmgr
USER_ALL_MANAGER_PASSWORD,Freeman1
USER_GENERAL_PREVIEWER,GENPRE
USER_GENERAL_PREVIEWER_PASSWORD,Freeman1
USER_DESIGN_MANAGER,TEST.DESMGR
USER_DESIGN_MANAGER_PASSWORD,Freeman1
USER_DETAIL_MANAGER,TEST.DETMGR
USER_DETAIL_MANAGER_PASSWORD,Freeman1
USER_GRAPHICS_LAYOUT_MANAGER,TEST.LAYMGR
USER_GRAPHICS_LAYOUT_MANAGER_PASSWORD,Freeman1
USER_FLOOR_PLAN_MANAGER,TEST.FLPMGR
USER_FLOOR_PLAN_MANAGER_PASSWORD,Freeman1
USER_RESOURCE,PSP.ALLSTF
USER_RESOURCE_PASSWORD,Freeman1
RESOURCE_MANAGER,PSP ALL MGR
RESOURCE,PSP ALL STF
TEST_DESIGN_RESOURCE,TEST DES STF
USER_TEST_DESIGN_RESOURCE,TEST.DESSTF
USER_TEST_DESIGN_RESOURCE_PASSWORD,Freeman1
TEST_DETAIL_RESOURCE,TEST DET STF
USER_TEST_DETAIL_RESOURCE,TEST.DETSTF
USER_TEST_DETAIL_RESOURCE_PASSWORD,Freeman1
TEST_GRAPHICS_LAYOUT_RESOURCE,TEST LAY STF
USER_TEST_GRAPHICS_LAYOUT_RESOURCE,TEST.LAYSTF
USER_TEST_GRAPHICS_LAYOUT_RESOURCE_PASSWORD,Freeman1
TEST_FLOOR_PLAN_RESOURCE,TEST FLP STF
USER_TEST_FLOOR_PLAN_RESOURCE,TEST.FLPSTF
USER_TEST_FLOOR_PLAN_RESOURCE_PASSWORD,Freeman1
TSS_FULL_ORDER_EXPO_FUNCTIONAL_AREA1,Automation FA
TSS_FULL_ORDER_EXPO_FUNCTIONAL_AREA2,LOBBY AREA
TSS_FULL_ORDER_EXPO_FUNCTIONAL_AREA3,Test FA
TSS_FULL_ORDER_EXPO_FUNCTIONAL_AREA4,AUTO_FA
TSS_FULL_ORDER_EXPO_FUNCTIONAL_AREA5,Auto Fa Test
TSS_FULL_ORDER_EXPO_FUNCTIONAL_AREA5_CHILD,Auto Fa Child
TSS_FULL_ORDER_EXPO_NON_FULL_ORDER_FUNCTIONAL_AREA1,Automation FA
TSS_FULL_ORDER_EXPO_NON_FULL_ORDER_FUNCTIONAL_AREA2,LOBBY AREA
TSS_FULL_ORDER_EXPO_NON_FULL_ORDER_FUNCTIONAL_AREA3,Test FA
TSS_NON_FULL_ORDER_EXPO_FUNCTIONAL_AREA1,Automation FA
TSS_NON_FULL_ORDER_EXPO_FUNCTIONAL_AREA2,LOBBY AREA
TSS_NON_FULL_ORDER_EXPO_FUNCTIONAL_AREA3,Classic Center
TSS_NON_FULL_ORDER_EXPO_FUNCTIONAL_AREA4,Auto Fa Test
INTERNAL_NON_FULL_ORDER_EXPO_FUNCTIONAL_AREA1,Automation FA
INTERNAL_NON_FULL_ORDER_EXPO_FUNCTIONAL_AREA2,Meetings
EXTERNAL_NON_FULL_ORDER_EXPO_FUNCTIONAL_AREA1,Automation FA
EXTERNAL_NON_FULL_ORDERING_EXPO_FUNCTIONAL_AREA2,Test Area1
EXTERNAL_NON_FULL_ORDERING_EXPO_FUNCTIONAL_AREA3,cigniti
SFDC_NON_FULL_ORDER_EXPO_FUNCTIONAL_AREA1,Automation FA
SFDC_NON_FULL_ORDER_EXPO_FUNCTIONAL_AREA2,Classic Center
SFDC_NON_FULL_ORDER_EXPO_FUNCTIONAL_AREA3,LOBBY AREA
BRANCH_TEMPLATE_FUNCTIONAL_AREA1,Automation FA
TSS_FULL_ORDER_EXPO_FUNCTIONAL_AREA_PDM,FDC OFFICE
TSS_FULL_ORDER_EXPO_FUNCTIONAL_AREA_PDM1,OUTSIDE
FACILITY1,ALEXIS PARK
FACILITY1_LOCATION1,APOLLO
FACILITY1_LOCATION2,ZEUS
FACILITY1_LOCATION3,ATHENA
FACILITY1_LOCATION4,ALEXIS GARDENS
FACILITY1_LOCATION5,PARTHENON
FACILITY1_LOCATION6,BOARD ROOMS
FACILITY2,CLASSIC CENTER
FACILITY2_LOCATION1,ATHENA BALLROOM
FACILITY2_LOCATION2,GRAND HALL
FACILITY2_LOCATION3,MEETING ROOM
FACILITY2_LOCATION4,TOWN HALL
FACILITY3,FAV DALLAS
FACILITY3_LOCATION1,LOCATION1
FACILITY3_LOCATION2,LOCATION2
FACILITY3_LOCATION3,LOCATION3
FACILITY3_LOCATION4,LOCATION4
FACILITY4,32ND STREET NAVAL BASE
FACILITY4_LOCATION1,TENT
TSS_FULL_ORDER_EXPO_BOOTH1,MGMT9
TSS_FULL_ORDER_EXPO_BOOTH2,TFC9
TSS_FULL_ORDER_EXPO_BOOTH3,INVOICE
TSS_FULL_ORDER_EXPO_BOOTH4,AUTOBOOTH
TSS_FULL_ORDER_EXPO_BOOTH5,INVOICE5
TSS_FULL_ORDER_EXHIBIT_BOOTH1,MGMT11
TSS_FULL_ORDER_EXHIBIT_BOOTH2,TFC10
TSS_FULL_ORDER_EXHIBIT_BOOTH3,123
TSS_FULL_ORDER_EXHIBIT_BOOTH4,INVOICE1
TSS_FULL_ORDER_EXHIBIT_BOOTH5,INVOICE2
TSS_FULL_ORDER_EXHIBIT_BOOTH6,INVOICE33
TSS_FULL_ORDER_EXHIBIT_BOOTH7,INVOICE4
TSS_FULL_ORDER_EXHIBIT_BOOTH8,INVOICE6
TSS_FULL_ORDER_EXPO_NON_FULL_ORDER_BOOTH1,MGMT8
TSS_FULL_ORDER_EXPO_NON_FULL_ORDER_BOOTH2,TFC8
TSS_FULL_ORDER_EXPO_NON_FULL_ORDER_BOOTH3,MGMT1
TSS_FULL_ORDER_EXPO_NON_FULL_ORDER_BOOTH4,TEST
TSS_NON_FULL_ORDER_EXPO_BOOTH1,MGMT7
TSS_NON_FULL_ORDER_EXPO_BOOTH2,TFC7
TSS_NON_FULL_ORDER_EXPO_BOOTH3,INVOICE
TSS_NON_FULL_ORDER_EXPO_BOOTH4,AUTOBOOTH
TSS_NON_FULL_ORDER_EXPO_BOOTH5,AUTO
TSS_NON_FULL_ORDER_EXHIBIT_BOOTH1,INVOICE1
TSS_NON_FULL_ORDER_EXHIBIT_BOOTH2,INVOICE2
INTERNAL_EXPO_BOOTH1,INVOICE1
INTERNAL_EXPO_BOOTH2,MGMT6
INTERNAL_NON_FULL_ORDER_EXPO_BOOTH1,MGMT6
INTERNAL_NON_FULL_ORDER_EXPO_BOOTH2,TFC6
INTERNAL_NON_FULL_ORDER_EXPO_BOOTH3,MEETING
EXTERNAL_NON_FULL_ORDER_EXPO_BOOTH1,Default
SFDC_NON_FULL_ORDER_EXPO_BOOTH1,Default
SFDC_NON_FULL_ORDER_EXPO_BOOTH3,MEETING
BRANCH_TEMPLAET_EXPO_BOOTH1,MGMT
BOOTH_EXHIBIT_PDM,INVOICE6
BOOTH_EXHIBIT1_PDM,333
VENDOR,Freeman
VENDOR_ASSOCIATE,Freeman AV
VENDOR_THIRD_PARTY,Aramark
VENDOR_THIRD_PARTY1,aramark
SETUP_START_DATE,01/01/2015 12:00:00 AM
SETUP_END_DATE,01/02/2015 12:00:00 AM
TEARDOWN_START_DATE,01/03/2015 12:00:00 AM
TEARDOWN_END_DATE,01/04/2015 12:00:00 AM
SETUP_START_DATE1,01/01/2016 12:00:00 AM
SETUP_END_DATE1,01/02/2016 12:00:00 AM
TEARDOWN_START_DATE1,01/03/2016 12:00:00 AM
TEARDOWN_END_DATE1,01/04/2016 12:00:00 AM
DUE_DATE,12/12/2016
PART_RENTAL1,STUDIO BLACK COCKTAIL TABLE
PART_RENTAL2,BLACK DIAMOND ARM CHAIR
PART_FREIGHT,MATERIAL HANDLING PACKAGE - SHOW SITE (PER LB)
PART_SIGNS_COLLAB,COLLABORATION_CUSTOM BANNER
PART_SIGNS,CUSTOM BANNER
PART_BOM1,SOHO CAFE TABLE - 30"H X 36"D
PART_BOM2,3'L X 30"H DRAPED TABLE
PART_BOM3,40 OZ PRESTIGE CARPET
PART_BOM4,40 OZ PRESTIGE CARPET (LG QTY)
PART_PRODUCTION_FREEMAN,TOTAL FLEX GRAPHICS
PART_PRODUCTION_FREEMANAV_COLLAB,COLLABORATION_AV Other
PART_PRODUCTION_FREEMANAV,AV Other
PART_COLLAB_FREEMANAV,AV Other
PART_CORT1,BENCH OTTOMAN - BLACK LEATHER (OTM)
PART_CORT2,BENCH OTTOMAN - WHITE LEATHER (OTN)
PART_COLLAB_FREEMAN_COLLAB,COLLABORATION_Custom Part
PART_COLLAB_FREEMAN,Custom Part
PART_SIGN_FREEMAN,11" X 44" SIGN
PART_LABOR_FREEMAN,INSTALL - STAGEHAND LABOR - OT
PART_LABOR_FREEMANAV,AV Other
PART_AV_FLOOR_PLAN_COLLAB,COLLABORATION_AV Floor Plan
PART_AV_FLOOR_PLAN,AV Floor Plan
PART_MEDIA_FREEMANAV_COLLAB,COLLABORATION_AV MEDIA
PART_MEDIA_FREEMANAV,AV MEDIA
PART_GRAPHICS_CUSTOM_SIGN_COLLAB,COLLABORATION_1M SINGLE SIDED SIGN
PART_GRAPHICS_CUSTOM_SIGN,1M SINGLE SIDED SIGN
PART_GRAPHICS_CUSTOM_BANNER_COLLAB,COLLABORATION_Custom Banner
PART_GRAPHICS_CUSTOM_BANNER,Custom Banner
PART_GRAPHICS_CUSTOM_COLLAB,COLLABORATION_CUSTOM MISCELLANEOUS SIGN
PART_GRAPHICS_CUSTOM,CUSTOM MISCELLANEOUS SIGN
PART_GRAPHICS_SIGN_COLLAB,COLLABORATION_5' X 10' EXHIBIT MURAL
PART_GRAPHICS_SIGN,5' X 10' EXHIBIT MURAL
PART_STANDARD,GLOBUS OCCASIONAL CHAIR(OCU)
PART_STRUCTURE,MRE Custom Booth 250 - 499 SQFT
PART_STRUCTURE1,Show Look Development
PART_STRUCTURE_EXHIBIT_COLLAB,COLLABORATION_MIS SHOW MANAGEMENT BOOTH
PART_STRUCTURE_EXHIBIT,MIS SHOW MANAGEMENT BOOTH
PART_STRUCTURE_NON_EXHIBIT1_COLLAB,COLLABORATION_MIS STANDARD REGISTRATION COUNTER
PART_STRUCTURE_NON_EXHIBIT1,MIS STANDARD REGISTRATION COUNTER
PART_STRUCTURE_NON_EXHIBIT2,RENTAL EXHIBIT PACKAGE 1 - 10' X 10'
PART_STRUCTURE_NON_EXHIBIT3,TOTAL FLEX CURVED FLOOR UNIT 8'H X 10'W (RENTAL)
PART_THIRDPARTY1,Party Item44
PART_THIRDPARTY2,Party Item45
PART_THIRDPARTY3,Party Item46
PART_BRANCH_TEMPLATE,110/120 VOLT - 500 WATT (5 AMP) OUTLET
TSS_FULL_ORDER_EXPO_ACCOUNTING_CODES1,Ac1:A;Ac 2:BB;Ac 3:C;Ac 4:D
TSS_FULL_ORDER_EXPO_ACCOUNTING_CODES2,Ac1:arrival;Ac 2:1255;Ac 3:14.4 test 3;Ac 4:123-00
TSS_FULL_ORDER_EXPO_ACCOUNTING_CODES3,Ac1:dispatch;Ac 2:1255;Ac 3:14.4 test 3;Ac 4:123-00
TSS_FULL_ORDER_EXPO_ACCOUNTING_CODES4,Ac1:Branch;Ac 2:1255;Ac 3:14.4 test 3;Ac 4:123-00
TSS_FULL_ORDER_EXPO_ACCOUNTING_CODES5,Ac1:test2;Ac 2:1255;Ac 3:14.4 test 3;Ac 4:123-00
TSS_FULL_ORDER_EXHIBIT_ACCOUNTING_CODES1,1:test1
TSS_FULL_ORDER_EXHIBIT_ACCOUNTING_CODES2,1:test2
TSS_NON_FULL_ORDER_EXHIBIT_ACCOUNTING_CODES1,1:test1
TSS_NON_FULL_ORDER_EXHIBIT_ACCOUNTING_CODES2,1:test2
TSS_NON_FULL_ORDER_EXPO_ACCOUNTING_CODES1,Ac1:A;Ac 2:B;Ac 3:C;Ac 4:D
TSS_NON_FULL_ORDER_EXPO_ACCOUNTING_CODES2,Ac1:arrival;Ac 2:1255;Ac 3:14.4 test 3;Ac 4:123-00
INTERNAL_NON_FULL_ORDER_EXPO_ACCOUNTING_CODES1,Ac1:A;Ac 2:B;Ac 3:C;Ac 4:D
INTERNAL_NON_FULL_ORDER_EXPO_ACCOUNTING_CODES2,Ac1:arrival;Ac 2:1255;Ac 3:14.4 test 3;Ac 4:123-00
INTERNAL_NON_FULL_ORDER_EXPO_ACCOUNTING_CODES3,Ac1:arrival;Ac 2:1255;Ac 3:14.4 test 3;Ac 4:Production
EXTERNAL_NON_FULL_ORDER_EXPO_ACCOUNTING_CODES1,Ac1:A;Ac 2:BB;Ac 3:CC;Ac 4:DD
EXTERNAL_NON_FULL_ORDER_EXPO_ACCOUNTING_CODES2,Ac1:arrival;Ac 2:1255;Ac 3:14.4 test 3;Ac 4:123-00
EXTERNAL_NON_FULL_ORDER_EXPO_ACCOUNTING_CODES3,Ac1:dispatch;Ac 2:1255;Ac 3:14.4 test 3;Ac 4:123-00
EXTERNAL_NON_FULL_ORDER_EXPO_ACCOUNTING_CODES4,Ac1:Branch;Ac 2:1255;Ac 3:14.4 test 3;Ac 4:123-00
EXTERNAL_NON_FULL_ORDER_EXPO_ACCOUNTING_CODES5,Ac1:test2;Ac 2:1255;Ac 3:14.4 test 3;Ac 4:123-00
SFDC_NON_FULL_ORDER_EXPO_ACCOUNTING_CODES1,Ac1:A;Ac 2:BB;Ac 3:CC;Ac 4:DD
SFDC_NON_FULL_ORDER_EXPO_ACCOUNTING_CODES2,Ac1:arrival;Ac 2:1255;Ac 3:14.4 test 3;Ac 4:123-00
AUTO_OPPORTUNITY_EXPO_ACCOUNTING_CODES1,Ac1:A;Ac 2:B;Ac 3:C;Ac 4:D
AUTO_OPPORTUNITY_EXPO_ACCOUNTING_CODES2,Ac1:Test Account Code 1;Ac 2:Test Account Code 2;Ac 3:Test Account Code 3;Ac 4:Test Account Code 4
BRANCH_TEMPLAET_EXPO_ACCOUNTING_CODES1,1:test1
BRANCH_TEMPLAET_EXPO_ACCOUNTING_CODES2,1:test2
ACCOUNTING_CODES_EXPO,Ac1:A;Ac 2:BB;Ac 3:CC;Ac 4:DD
ACCOUNTING_CODES1_EXPO,Ac1:arrival;Ac 2:1255;Ac 3:14.4 test 3;Ac 4:123-00
ACCOUNTING_CODES1_EXPO_SFDC,Ac1:Test Account Code 1;Ac 2:Test Account Code 2;Ac 3:Test Account Code 3;Ac 4:Test Account Code 4
ACCOUNTING_CODES_EXHIBIT,1:test1
ACCOUNTING_CODES1_EXHIBIT,1:test2
ACCOUNTING_CODES_EXHIBIT_NON_FULLORDER,Ac1:A;Ac 2:B;Ac 3:C;Ac 4:D
ACCOUNTING_CODES1_EXHIBIT_NON_FULLORDER,Ac1:1;Ac 2:1255;Ac 3:1;Ac 4:123-00
ACCOUNTING_CODES_EXPO_INTERNAL1,Ac1:arrival;Ac 2:acccode2;Ac 3:CC;Ac 4:DD
ACCOUNTING_CODES_EXPO_INTERNAL2,Ac1:arrival;Ac 2:1255;Ac 3:CC;Ac 4:DD
FILE_OWNER,FOL Autouser1
FILE_OWNER1,fol auto4
FILE_OWNER2,fol auto6
REVIEWER,fol auto4
REVIEWER2,fol auto7
REVIEWER3,fol auto8
APPROVAL_PROCESS1,auto
APPROVAL_PROCESS2,folauto
APPROVAL_PROCESS3,Test
APPROVAL_PROCESS4,Process1
APPROVAL_PROCESS5,auto2
APPROVAL_PROCESS6,auto3
APPROVAL_PROCESS7,auto4
APPROVAL_PROCESS8,auto5
DESIGN_BRANCH1,TEST
DESIGN_BRANCH2,AV DALLAS
DESIGN_BRANCH3,LAS VEGAS - NRDC
ACCOUNT_NAME,REED EVINS
ACCOUNT_REEDEVINS_TFC_NUMBER,721584
ACCOUNT_REEDEVINS_STREET,417 E 57TH ST
ACCOUNT_REEDEVINS_CITY,NEW YORK
ACCOUNT_REEDEVINS_STATE,NY
ACCOUNT_REEDEVINS_ZIPCODE,10022-3018
ACCOUNT_CIG_NORTH_AMERICA_TFC_NUMBER,917614
USER_EXTERNAL_EXPO_ACCOUNT_ADMIN_FIRST_NAME,FOL
USER_EXTERNAL_EXPO_ACCOUNT_ADMIN_LAST_NAME,Autouser1
USER_EXTERNAL_EXPO_ACCOUNT_ADMIN_EMAIL,siddharthapasupuleti@gmail.com
